"","V1"
"mean1",6.91666666666667
"mean2",4.2
"beta[1,1]",6.90481138922684
"beta[2,1]",4.39392773987499
"ES",6.52589492063154
"sigma.epsilon",0.430001234425635
"rho",0.664737757218262
"cp",3
"l.95b1",6.27521022896842
"u.95b1",7.50949983994117
"l.95b2",3.55503823899168
"u.95b2",5.32605685915167
"l.95es",2.34044115682334
"u.95es",10.852443675635
"l.95sigma",0.191857869573819
"u.95sigma",0.742331591770757
"l.95rho",0.0715069050500844
"u.95rho",0.999992240752511
"l.95cp",3
"u.95cp",3
